id;certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
49;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Volcanes Y Antillanca; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
50;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Wals - Cerveja Arte; - ; - ;Best Brew - Copa;Oro;Brew.;Cup; - ;Brasil
51;CCA Copa Cervezas America - Chile;Chile;2018-10;2018;Wals - Cerveja Arte; - ; - ;Best Brew - Brasil;Oro;Brew.;Pais; - ;Brasil
52;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;7 Vidas; - ; - ;Best Brew - Bronce - Perú;Bronce;Brew.;Pais; - ;Perú
53;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Agricola Tralcao; - ; - ;Best Brew - Bronce - Chile;Bronce;Brew.;Pais; - ;Chile
54;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Cerveceria Independiente Walung; - ; - ;Best Brew - Bronce - Chile;Bronce;Brew.;Pais; - ;Chile
55;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Cerveceria Luthier; - ; - ;Best Brew - Plata - Chile;Plata;Brew.;Pais; - ;Chile
56;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Cervejaria Kairós; - ; - ;Best Brew - Plata - Brasil;Plata;Brew.;Pais; - ;Brasil
57;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Cervejaria Konigs Bier; - ; - ;Best Brew - Oro - Brasil;Oro;Brew.;Pais; - ;Brasil
58;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Cervejaria Konigs Bier; - ; - ;Best Brew - Plata - Brasil;Plata;Brew.;Pais; - ;Brasil
59;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Grupo Roister - Devaneio Do Velhaco; - ; - ;Best Brew - Bronce - Brasil;Bronce;Brew.;Pais; - ;Brasil
60;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Jabalina Brew. Co.; - ; - ;Best Brew - Oro - Argentina;Oro;Brew.;Pais; - ;Argentina
61;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Nothus; - ; - ;Best Brew - Oro - Chile;Oro;Brew.;Pais; - ;Chile
62;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Nothus; - ; - ;Best Brew - Oro - Chile;Oro;Brew.;Pais; - ;Chile
63;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Prinston Brew.; - ; - ;Best Brew - Bronce - Argentina;Bronce;Brew.;Pais; - ;Argentina
64;CCA Copa Cervezas America - Etapa Intern.- Chile;Nacional;2022-10;2022;Tropel; - ; - ;Best Brew - Plata - Argentina;Plata;Brew.;Pais; - ;Argentina
65;Copa Capital Cervecera - Chile;Nacional;2025-07;2025;Nothus; - ; - ;Best Brew - Copa;Oro;Brew.;Cup;Valdivia;Chile
66;Copa Capital Cervecera - Chile;Nacional;2025-07;2025;Nothus; - ; - ;Best Brew - Regional;Plata;Brew.;Region;Valdivia;Chile
67;Copa Tayrona - Colombia;Internacional;2025-07;2025;Tubinger; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
68;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Ashby; - ; - ;Best Brew - Argentina;Oro;Brew.;Pais; - ;Brasil
69;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Del Valle Sagrado; - ; - ;Best Brew - Perú;Oro;Brew.;Pais; - ;Perú
70;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Django; - ; - ;Best Brew - Copa;Oro;Brew.;Cup; - ;Ecuador
71;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Django; - ; - ;Best Brew - Ecuador;Oro;Brew.;Pais; - ;Ecuador
72;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;El Gardenia; - ; - ;Best Brew - Mexico;Oro;Brew.;Pais; - ;México
73;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Feroz; - ; - ;Best Brew - Panama;Oro;Brew.;Pais; - ;Panamá
74;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Lúpulos Craft Beer; - ; - ;Best Brew - Honduras;Oro;Brew.;Pais; - ;Honduras
75;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Sierra Blanca; - ; - ;Best Brew - Colombia;Oro;Brew.;Pais; - ;Colombia
76;Mitad del Mundo - Ecuador;Internacional;2025-07;2025;Tropera; - ; - ;Best Brew - Chile;Oro;Brew.;Pais; - ;Chile
77;Brussels Beer Challenge;Bélgica;2018-10;2018;Alken-Maes;Affligem Blond;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
78;Brussels Beer Challenge;Bélgica;2019-10;2019;Alken-Maes;Affligem blond;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
79;Brussels Beer Challenge;Bélgica;2021-10;2021;Alken-Maes;Affligem Blond;Abbey Blond;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
80;Brussels Beer Challenge;Bélgica;2023-10;2023;Alken-Maes;Affligem Blond;Abbey Blond;Gold Medal;Oro;Beer;BeerStyle;;Bélgica
81;Brussels Beer Challenge;Bélgica;2018-10;2018;Brouwerij Corsendonk;Corsendonk Agnus Tripel;Abbey Blond;Bronze Medal;;Beer;BeerStyle;;Bélgica
82;Brussels Beer Challenge;Bélgica;2023-10;2023;Brouwerij Corsendonk;Corsendonk Agnus Tripel;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
83;Brussels Beer Challenge;Bélgica;2022-10;2022;Brouwerij Roman;Gentse Strop;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
84;Brussels Beer Challenge;Bélgica;2021-10;2021;Carlsberg Breweries A/S;Grimbergen Blonde;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Francia
85;Brussels Beer Challenge;Bélgica;2020-10;2020;Brouwerij Cornelissen;Herkenrode Cister;Abbey Blond;Bronze Medal;Bronce;Beer;BeerStyle;;Bélgica
