certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
Brussels Beer Challenge;Bélgica;2025-10;2025;The Virginia Beer Company;Trail Magic;Brown Ale;Plata Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2023-10;2023;The Virginia Beer Company;Elbow Patches;Export Stout;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2022-10;2022;The Virginia Beer Company;One Night In Tokyo;Fruit Beer;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2024-10;2024;The Virginia Beer Company;Oktoberfest;German  Marzen;Gold Medal;Oro;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2025-10;2025;The Virginia Beer Company;Oktoberfest;German  Marzen;Bronce Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2019-10;2019;The Virginia Beer Company;Elbow Patches;Stout export;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2021-10;2021;The Virginia Beer Company;Elbow Patches;Stout export;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2021-10;2021;The Virginia Beer Company;Purley's ESB;Strong/Extra Special Bitter;Gold Medal;Oro;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2022-10;2022;The Virginia Beer Company;Purley's ESB;Strong/Extra Special Bitter;Silver Medal;Plata;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2020-10;2020;The Virginia Beer Company;Evil Santa;Winter Ale;Bronze Medal;Bronce;Beer;BeerStyle;;EEUU
Brussels Beer Challenge;Bélgica;2024-10;2024;The Wall SRL;John Hops;Double IPA;Silver Medal;Plata;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2025-10;2025;The Wall SRL;Sunray;Gluten Free;Oro Medal;Oro;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2023-10;2023;The Wall SRL;Kamaleon;Smoked Beer;Bronze Medal;Bronce;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2023-10;2023;THERESIANER BIRRA ITALIANA 1766;Theresianer Senza Glutine;Gluten Free;Bronze Medal;Bronce;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2023-10;2023;THERESIANER BIRRA ITALIANA 1766;Theresianer Premium Lager;Helles;Bronze Medal;Bronce;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2023-10;2023;THERESIANER BIRRA ITALIANA 1766;Theresianer Vienna;Vienna Lager;Gold Medal;Oro;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2024-10;2024;Theresianer Birra Italiana 1766;Theresianer Vienna;Vienna Lager;Silver Medal;Plata;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2022-10;2022;THERESIANER BIRRA ITALIANA 1766;Vienna;Vienna Lager;Gold Medal;Oro;Beer;BeerStyle;;Italia
Brussels Beer Challenge;Bélgica;2025-10;2025;Theresianer Birra Italiana 1766;Vienna;Vienna Lager;Bronce Medal;Bronce;Beer;BeerStyle;;Italia
CCA Copa Cervezas America - Chile;Nacional;2017-10;2017;Therezopolis;Therezópolis Gold;American Lager;Bronce;Bronce;Beer;Style; - ;Brasil
